,region,accumulation,G
849,2,2422,4.5
850,2,2433,6.1
851,2,2443,5.3
852,2,2471,3.4
853,2,2496,4.7
854,2,2515,3.7
855,2,2512,4.7
856,2,2531,3.8
857,2,2541,3.5
858,2,2560,5.1
859,2,2545,4.5
860,2,2544,5.6
861,2,2562,4.9
862,2,2588,6.6
863,2,2576,3.2
864,2,2608,3.2
865,2,2665,5.2
866,2,2658,3.2
867,2,2674,4.7
868,2,2672,2.3
869,2,2687,2.6
870,2,2700,6.3
871,2,2712,7.6
872,2,2697,5.1
873,2,2692,4.9
874,2,2710,2.8
875,2,2770,3.7
876,2,2792,5.5
877,2,2784,2.7
878,2,2813,2.2
879,2,2835,3.1
880,2,2844,5.3
881,2,2873,4.2
882,2,2884,3.3
883,2,2913,2.9
884,2,2946,4.8
885,2,2945,6.5
886,2,2945,3.0
887,2,2964,3.8
888,2,2958,4.9
889,2,2963,4.2
890,2,2978,4.6
891,2,3011,3.7
892,2,3058,2.9
893,2,3078,2.9
894,2,3101,5.5
895,2,3094,4.7
896,2,3109,5.6
897,2,3106,5.2
898,2,3083,4.2
899,2,3069,3.2
900,2,3052,5.7
901,2,3157,5.0
902,2,3153,3.0
903,2,3169,4.2
904,2,3175,2.9
905,2,3209,4.0
906,2,3229,4.1
907,2,3251,4.7
908,2,3238,3.0
909,2,3252,4.9
910,2,3233,3.5
911,2,3269,5.4
912,2,3271,4.6
913,2,3280,2.5
914,2,3306,2.3
915,2,3325,4.9
916,2,3334,5.9
917,2,3342,2.9
918,2,3370,4.7
919,2,3377,3.5
920,2,3378,5.0
921,2,3408,5.6
922,2,3415,4.1
923,2,3426,2.8
924,2,3443,4.3
925,2,3446,6.7
926,2,3438,3.5
927,2,3429,2.8
928,2,3443,2.7
929,2,3465,2.2
930,2,3487,4.8
931,2,3519,2.9
932,2,3553,4.4
933,2,3556,3.8
934,2,3566,5.3
935,2,3552,4.3
936,2,3536,3.1
937,2,3584,2.7
938,2,3594,1.6
939,2,3630,3.0
940,2,3643,3.8
941,2,3698,3.1
942,2,3738,3.4
943,2,3755,3.8
944,2,3758,3.5
945,2,3753,4.2
946,2,3768,4.0
947,2,3770,3.3
