flow,region,accumulation,G,CV
0.2,0,237,0.2,1.5566476946819714
0.2,0,242,1.1,1.469546979608473
0.2,0,241,0.6,1.701008319056761
0.2,0,243,2.3,1.648028110696389
0.2,0,228,1.6,1.388296125620308
0.2,0,222,0.8,1.4009052898573073
0.2,0,228,0.6,1.4554113909167752
0.2,0,229,0.0,1.3163274974772685
0.2,0,242,1.9,1.2348885901092248
0.2,0,238,0.6,1.4903300716315322
0.2,0,241,0.4,1.5813877553178561
0.2,0,246,1.5,1.8332742166417102
0.2,0,257,2.0,1.4693849217425015
0.2,0,244,1.2,1.638391408512413
0.2,0,240,1.1,1.5065896055032062
0.2,0,236,0.4,1.8490476473368647
0.2,0,238,0.4,1.8781068203874278
0.2,0,239,0.2,1.6598196476558875
0.2,0,238,2.6,1.528405622245489
0.2,0,223,0.2,1.4726994771096635
0.2,0,233,1.1,1.483597543042687
0.2,0,226,0.8,1.4718951304239385
0.2,0,227,2.1,1.7079358048254916
0.2,0,214,0.3,1.5420851481287774
0.2,0,221,1.0,1.5792313947936407
0.2,0,219,0.9,1.8655156435885434
0.2,0,218,1.1,1.5122927004633757
0.2,0,211,0.2,1.616160024666738
0.2,0,211,1.8,1.5796936115790055
0.2,0,195,0.3,1.7273017625618692
0.2,0,200,0.8,1.5370211704392984
0.2,0,203,0.4,1.560413389121106
0.2,0,213,1.5,1.6408350924526818
0.2,0,206,2.1,1.7812310399008868
0.2,0,199,0.8,1.614215643552708
0.2,0,197,0.7,1.3854069926221653
0.2,0,200,1.1,1.2816907780809648
0.2,0,195,0.3,1.377746154359179
0.2,0,195,1.3,1.3888570616011937
0.2,0,190,0.8,1.631711560729129
0.2,0,184,0.6,1.4317471567867879
0.2,0,187,1.0,1.489095418655966
0.2,0,185,0.9,2.0803796162912143
0.2,0,182,2.5,1.8653717211617216
0.2,0,167,0.7,2.313535998492836
0.2,0,167,0.0,1.7358387849438903
0.2,0,170,0.6,1.81823015764903
0.2,0,167,0.4,1.4969756544593356
0.2,0,172,1.4,1.4011688131909057
0.2,0,167,1.2,1.6869665057698007
0.2,0,160,0.5,1.6199410605778117
0.2,0,159,0.7,1.6786054687399445
0.2,0,160,0.3,1.7234267995747614
0.2,0,170,2.3,1.7732595915583937
0.2,0,155,1.0,1.638951485757584
0.2,0,149,0.3,2.0166560817307517
0.2,0,150,0.4,1.7719487752974261
0.2,0,151,0.6,1.8222243091299741
0.2,0,159,1.5,1.5373219074973976
0.2,0,150,0.7,1.6205474027551523
0.2,0,149,0.5,1.3587272361020362
0.2,0,153,0.1,1.3802966192175825
0.2,0,161,1.3,1.4242328539747866
0.2,0,155,1.3,1.5391790660153788
0.2,0,146,0.2,1.4772630530663888
0.2,0,151,0.4,1.4759208961709598
0.2,0,156,0.1,1.5462841005452759
0.2,0,163,0.6,1.4391194607846474
0.2,0,162,0.9,1.6075037140150181
0.2,0,162,0.7,1.6506611451379054
0.2,0,160,0.7,1.820881078503684
0.2,0,156,0.3,1.742890222886733
0.2,0,162,0.6,1.7784134165107341
0.2,0,160,1.8,1.8438471736707844
0.2,0,147,1.3,1.7270552801166754
0.2,0,140,0.5,1.6547957075225024
0.2,0,140,0.2,1.7003189233834497
0.2,0,147,0.2,1.5722066842415152
0.2,0,154,0.8,1.6051840632010208
0.2,0,154,0.5,1.5193262889184078
0.2,0,152,0.4,1.6690702118732015
0.2,0,151,0.8,1.7978460366857965
0.2,0,149,0.6,1.817423624874488
0.2,0,146,1.0,1.77381024583927
0.2,0,144,0.7,1.549761843195078
0.2,0,142,0.1,1.3867031822110902
0.2,0,149,0.5,1.550951642689183
0.2,0,152,0.9,1.3895410570146287
0.2,0,150,1.3,1.5812485213497744
0.2,0,145,0.2,1.6033320651733702
0.2,0,145,0.5,1.683373719432731
0.2,0,145,0.4,1.6889727172331905
0.2,0,148,0.4,1.9866272218071837
0.2,0,152,2.3,1.789034467592936
0.2,0,135,0.6,1.597355437573725
0.2,0,138,0.1,1.5887808412463478
0.2,0,145,0.1,2.1311336102770593
0.2,0,150,0.7,1.5193286198125373
0.2,0,148,1.2,1.597175057252288
0.2,0,144,0.9,1.8132635122733307
0.2,0,136,0.2,1.836642396637343
0.2,0,138,0.3,1.9502860607749828
0.2,0,147,0.6,2.2575063900072307
0.2,0,148,2.1,1.9864871914509958
0.2,0,137,0.6,1.944225330318483
0.2,0,143,0.9,1.748884273912203
0.2,0,143,0.2,1.6892979069609049
0.2,0,147,0.1,1.6574039825298053
0.2,0,155,1.4,1.4544272455540288
0.2,0,147,0.7,1.5143033427448203
0.2,0,143,0.5,1.8254772581939858
0.2,0,144,0.4,1.644599517184404
0.2,0,151,1.1,1.844609780686998
0.2,0,148,2.4,1.590049380853538
0.2,0,127,0.6,1.5650367565283094
0.2,0,131,0.2,2.039199862647171
0.2,0,134,0.6,1.6637850314020393
0.2,0,136,0.4,1.603566943557693
0.2,0,134,1.3,2.060536280053815
0.2,0,123,0.4,1.9594932766126305
0.2,0,129,0.0,1.8804318132695739
0.2,0,139,0.2,3.1019185697736633
0.2,0,143,0.6,2.0904197290897892
0.2,0,141,1.9,1.9222208700135104
0.2,0,136,0.2,2.035998869990498
0.2,0,139,1.0,1.7531161039811323
0.2,0,141,0.8,1.79682107929418
0.2,0,139,0.2,1.7630917887102868
0.2,0,143,1.2,1.494375760214895
0.2,0,139,0.8,1.4716116560484773
0.2,0,136,0.2,1.5244590209852835
0.2,0,142,0.3,1.700227312898027
0.2,0,147,0.9,1.713717306697483
0.2,0,146,1.6,1.5702364427736981
0.2,0,136,0.5,1.6092339377547442
